monic	ㅁㅗㄴㅣㄱ
pardue	ㅍㅏㄷㅠ
fowles	ㅍㅏㅇㅜㄹㅈㅡ
menzhinsky	ㅁㅔㄴㅈㅣㄴㅅㅡㅋㅣ
pinochet	ㅍㅣㄴㅗㅊㅔㅌㅡ
bev	ㅂㅔㅂㅡ
bolin	ㅂㅗㄹㄹㅣㄴ
zidan	ㅈㅣㄷㅏㄴ
janusz	ㅇㅑㄴㅜㅅㅠ
delap	ㄷㅔㄹㄹㅏㅂ
heraklonas	ㅎㅔㄹㅏㅋㅡㄹㄹㅗㄴㅏㅅㅡ
rleal	ㄹㅔㅇㅏㄹ
huizenga	ㅎㅏㅇㅣㅈㅣㅇㅇㅏ
ber	ㅂㅓ
quintart	ㅋㅟㄴㅌㅏㄹㅡㅌㅡ
stravinsky	ㅅㅡㅌㅡㄹㅏㅂㅣㄴㅅㅡㅋㅣ
asensio	ㅇㅏㅅㅔㄴㅅㅣㅇㅗ
ape	ㅇㅔㅇㅣㅍㅡ
boevski	ㅂㅗㅇㅔㅍㅡㅅㅡㅋㅣ
gedroitz	ㄱㅔㄷㅡㄹㅗㅇㅣㅊㅡ
pickett	ㅍㅣㅋㅔㅅ
anselmo	ㅇㅏㄴㅅㅔㅇㅜㅁㅜ
din	ㅁㅏㅅㅜㄷㅡ
marise	ㅁㅓㄹㅣㅅㅡ
abei	ㅁㅏㅅㅏㄴㅗㄹㅣ
anastasiades	ㅇㅏㄴㅏㅅㅡㅌㅏㅅㅣㅇㅏㄷㅔㅅㅡ
ulanhu	ㅇㅜㄹㅏㄴㅍㅜ
berner	ㅂㅔㄹㅡㄴㅓ
zulay	ㅅㅜㄹㄹㅏㅇㅣ
sjinkie	ㅅㅣㅇㅋㅣ
ange	ㅇㅔㄴㅈㅔ
polchinski	ㅍㅗㄹㅊㅣㄴㅅㅡㅋㅣ
rajan	ㄹㅏㅈㅏㄴ
dexippus	ㄷㅔㄱㅅㅣㅍㅗㅅㅡ
fresh	ㅍㅡㄹㅔㅅㅟ
idha	ㅇㅣㄷㅡㅎㅏ
ayah	ㅇㅏㅇㅑ
asmahan	ㅇㅏㅅㅡㅁㅏㅎㅏㄴ
tomioka	ㄷㅗㅁㅣㅇㅗㅋㅏ
ravilla	ㄹㅏㅂㅣㄹㄹㅏ
goldacre	ㄱㅗㄹㄷㅡㅇㅔㅇㅣㅋㅓ
ethier	ㅇㅣㅅㅣㅇㅓ
gerstein	ㄱㅔㄹㅡㅅㅠㅌㅏㅇㅣㄴ
moufang	ㅁㅜㅍㅏㅇ
claudette	ㅋㅡㄹㄹㅗㄷㅔㅌㅡ
junta	ㅌㅔㄹㅏㅅㅣㅁㅏ
tarragona	ㅌㅏㄹㅏㄱㅗㄴㅏ
herriot	ㅇㅔㄹㅣㅇㅗ
gorito	ㄱㅗㄹㅣㅌㅗ
coulton	ㅋㅗㄹㅌㅓㄴ
yokotake	ㅆㅡㅂㅏㅅㅏ
foxes	ㅍㅗㄱㅅㅣㅅㅡ
hiroya	ㅎㅣㄹㅗㅇㅑ
takatora	ㄷㅏㅋㅏㅌㅗㄹㅏ
hayasaka	ㄹㅛㅌㅏ
amato	ㅇㅏㅁㅏㅌㅗ
bakr	ㅂㅏㅋㅡㄹㅡ
abaqa	ㅇㅏㅂㅏㅋㅏ
rotblat	ㄹㅗㅌㅡㅂㅡㄹㄹㅐㅅ
achiwa	ㅅㅏㅌㅗㅁㅣ
schemansky	ㅅㅠㅎㅔㅁㅏㄴㅅㅡㅋㅣ
frederiksen	ㅍㅡㄹㅔㄷㅔㄹㅣㄱㅅㅔㄴ
antisthenes	ㅇㅏㄴㅌㅣㅅㅡㅌㅔㄴㅔㅅㅡ
oconor	ㅇㅗㅋㅗㄴㅓ
boyne	ㅂㅗㅇㅣㄴ
michiko	ㄴㅔㅇㅑ
nonnus	ㄴㅗㄴㄴㅗㅅㅡ
deneuve	ㄷㅡㄴㅚㅂㅡ
kuramochi	ㅇㅠㅌㅏㅋㅏ
cleidson	ㅋㅡㄹㄹㅔㅇㅣㄷㅡㅅㅗㅇ
sawamura	ㅇㅔㅇㅣㅈㅣ
yasumoto	ㅎㅣㄹㅗㅋㅣ
odor	ㅇㅗㄷㅗㅇㅓ
yokotani	ㅁㅏㅅㅏㅋㅣ
ziauddin	ㅈㅣㅇㅜㅇㅏㄷㅣㄴ
lyne	ㄹㅣㄴ
penghlis	ㅍㅔㅇㄱㅡㄹㄹㅣㅅㅡ
fogelberg	ㅍㅗㄱㅡㄹㅂㅓㄱㅡ
wanja	ㅂㅏㄴㅑ
proust	ㅍㅡㄹㅜㅅㅡㅌㅡ
woglom	ㅇㅝㄱㅡㄹㄹㅗㅁ
katin	ㅋㅔㅇㅣㅌㅣㄴ
rousey	ㄹㅗㅇㅜㅈㅣ
bragina	ㅂㅡㄹㅏㄱㅣㄴㅏ
innerhofer	ㅇㅣㄴㅓㅎㅗㅍㅓ
metro	ㅁㅔㅌㅡㄹㅗ
vauban	ㅂㅗㅂㅏㅇ
agassiz	ㅇㅏㄱㅏㅅㅣ
khaltmaagiin	ㅎㅏㄹㅌㅡㅁㅏㄱㅣㄴ
ramgoolam	ㄹㅏㅁㄱㅜㄹㄹㅏㅁ
likhacheuski	ㄹㅣㄱㅎㅏㅊㅔㅇㅜㅅㅡㅋㅣ
