monic	ㅁㅗㄴㅣㄱ
pardue	ㅍㅏㄷㅠ
menzhinsky	ㅁㅔㄴㅈㅣㄴㅅㅡㅋㅣ
pinochet	ㅍㅣㄴㅗㅊㅔㅌㅡ
bev	ㅂㅔㅂㅡ
bolin	ㅂㅗㄹㄹㅣㄴ
zidan	ㅈㅣㄷㅏㄴ
janusz	ㅇㅑㄴㅜㅅㅠ
delap	ㄷㅔㄹㄹㅏㅂ
heraklonas	ㅎㅔㄹㅏㅋㅡㄹㄹㅗㄴㅏㅅㅡ
quintart	ㅋㅟㄴㅌㅏㄹㅡㅌㅡ
stravinsky	ㅅㅡㅌㅡㄹㅏㅂㅣㄴㅅㅡㅋㅣ
asensio	ㅇㅏㅅㅔㄴㅅㅣㅇㅗ
boevski	ㅂㅗㅇㅔㅍㅡㅅㅡㅋㅣ
gedroitz	ㄱㅔㄷㅡㄹㅗㅇㅣㅊㅡ
anselmo	ㅇㅏㄴㅅㅔㅇㅜㅁㅜ
marise	ㅁㅓㄹㅣㅅㅡ
anastasiades	ㅇㅏㄴㅏㅅㅡㅌㅏㅅㅣㅇㅏㄷㅔㅅㅡ
ulanhu	ㅇㅜㄹㅏㄴㅍㅜ
berner	ㅂㅔㄹㅡㄴㅓ
zulay	ㅅㅜㄹㄹㅏㅇㅣ
sjinkie	ㅅㅣㅇㅋㅣ
ange	ㅇㅔㄴㅈㅔ
polchinski	ㅍㅗㄹㅊㅣㄴㅅㅡㅋㅣ
rajan	ㄹㅏㅈㅏㄴ
dexippus	ㄷㅔㄱㅅㅣㅍㅗㅅㅡ
fresh	ㅍㅡㄹㅔㅅㅟ
idha	ㅇㅣㄷㅡㅎㅏ
ayah	ㅇㅏㅇㅑ
asmahan	ㅇㅏㅅㅡㅁㅏㅎㅏㄴ
tomioka	ㄷㅗㅁㅣㅇㅗㅋㅏ
ravilla	ㄹㅏㅂㅣㄹㄹㅏ
goldacre	ㄱㅗㄹㄷㅡㅇㅔㅇㅣㅋㅓ
gerstein	ㄱㅔㄹㅡㅅㅠㅌㅏㅇㅣㄴ
moufang	ㅁㅜㅍㅏㅇ
claudette	ㅋㅡㄹㄹㅗㄷㅔㅌㅡ
tarragona	ㅌㅏㄹㅏㄱㅗㄴㅏ
herriot	ㅇㅔㄹㅣㅇㅗ
gorito	ㄱㅗㄹㅣㅌㅗ
coulton	ㅋㅗㄹㅌㅓㄴ
foxes	ㅍㅗㄱㅅㅣㅅㅡ
hiroya	ㅎㅣㄹㅗㅇㅑ
takatora	ㄷㅏㅋㅏㅌㅗㄹㅏ
hayasaka	ㄹㅛㅌㅏ
amato	ㅇㅏㅁㅏㅌㅗ
bakr	ㅂㅏㅋㅡㄹㅡ
abaqa	ㅇㅏㅂㅏㅋㅏ
rotblat	ㄹㅗㅌㅡㅂㅡㄹㄹㅐㅅ
schemansky	ㅅㅠㅎㅔㅁㅏㄴㅅㅡㅋㅣ
frederiksen	ㅍㅡㄹㅔㄷㅔㄹㅣㄱㅅㅔㄴ
antisthenes	ㅇㅏㄴㅌㅣㅅㅡㅌㅔㄴㅔㅅㅡ
oconor	ㅇㅗㅋㅗㄴㅓ
boyne	ㅂㅗㅇㅣㄴ
nonnus	ㄴㅗㄴㄴㅗㅅㅡ
cleidson	ㅋㅡㄹㄹㅔㅇㅣㄷㅡㅅㅗㅇ
odor	ㅇㅗㄷㅗㅇㅓ
ziauddin	ㅈㅣㅇㅜㅇㅏㄷㅣㄴ
lyne	ㄹㅣㄴ
penghlis	ㅍㅔㅇㄱㅡㄹㄹㅣㅅㅡ
fogelberg	ㅍㅗㄱㅡㄹㅂㅓㄱㅡ
proust	ㅍㅡㄹㅜㅅㅡㅌㅡ
